"film","actor"
"http://dbpedia.org/resource/Kedok_Ketawa","http://dbpedia.org/resource/Basuki_Resobowo"
"http://dbpedia.org/resource/Gundala_(film)","http://dbpedia.org/resource/Bront_Palarae"
"http://dbpedia.org/resource/Gundala_(film)","http://dbpedia.org/resource/Tara_Basro"
"http://dbpedia.org/resource/Gundala_(film)","http://dbpedia.org/resource/Abimana_Aryasatya"
"http://dbpedia.org/resource/Gundala_(film)","http://dbpedia.org/resource/Rio_Dewanto"
"http://dbpedia.org/resource/Gundala_(film)","http://dbpedia.org/resource/Ario_Bayu"
"http://dbpedia.org/resource/At_Stake","http://dbpedia.org/resource/Tio_Pakusadewo"
"http://dbpedia.org/resource/At_Stake","http://dbpedia.org/resource/Adipati_Dolken"
"http://dbpedia.org/resource/At_Stake","http://dbpedia.org/resource/Aliando_Syarief"
"http://dbpedia.org/resource/At_Stake","http://dbpedia.org/resource/Jefri_Nichol"
"http://dbpedia.org/resource/Jaka_Sembung","http://dbpedia.org/resource/Barry_Prima"
"http://dbpedia.org/resource/Rentjong_Atjeh","http://dbpedia.org/resource/Dewi_Mada"
"http://dbpedia.org/resource/Rentjong_Atjeh","http://dbpedia.org/resource/Ferry_Kock"
"http://dbpedia.org/resource/Rentjong_Atjeh","http://dbpedia.org/resource/Hadidjah"
"http://dbpedia.org/resource/Rentjong_Atjeh","http://dbpedia.org/resource/Mohamad_Mochtar"
"http://dbpedia.org/resource/Rentjong_Atjeh","http://dbpedia.org/resource/Bissoe"
"http://dbpedia.org/resource/13_Bombs_in_Jakarta","http://dbpedia.org/resource/Muhammad_Khan_(actor)"
"http://dbpedia.org/resource/13_Bombs_in_Jakarta","http://dbpedia.org/resource/Putri_Ayudya"
"http://dbpedia.org/resource/13_Bombs_in_Jakarta","http://dbpedia.org/resource/Rio_Dewanto"
"http://dbpedia.org/resource/13_Bombs_in_Jakarta","http://dbpedia.org/resource/Ardhito_Pramono"
"http://dbpedia.org/resource/13_Bombs_in_Jakarta","http://dbpedia.org/resource/Lutesha"
"http://dbpedia.org/resource/Java_Heat","http://dbpedia.org/resource/Mickey_Rourke"
"http://dbpedia.org/resource/Java_Heat","http://dbpedia.org/resource/Atiqah_Hasiholan"
"http://dbpedia.org/resource/Java_Heat","http://dbpedia.org/resource/Rudy_Wowor"
"http://dbpedia.org/resource/Java_Heat","http://dbpedia.org/resource/Kellan_Lutz"
"http://dbpedia.org/resource/Java_Heat","http://dbpedia.org/resource/Ario_Bayu"
"http://dbpedia.org/resource/Preman_(film)","http://dbpedia.org/resource/Putri_Ayudya"
"http://dbpedia.org/resource/Preman_(film)","http://dbpedia.org/resource/Salvita_Decorte"
"http://dbpedia.org/resource/Street_Society","http://dbpedia.org/resource/Marcel_Chandrawinata"
"http://dbpedia.org/resource/Street_Society","http://dbpedia.org/resource/Chelsea_Islan"
"http://dbpedia.org/resource/Catatan_Si_Boy","http://dbpedia.org/resource/Didi_Petet"
"http://dbpedia.org/resource/24_Hours_with_Gaspar","http://dbpedia.org/resource/Reza_Rahadian"
"http://dbpedia.org/resource/24_Hours_with_Gaspar","http://dbpedia.org/resource/Sal_Priadi"
"http://dbpedia.org/resource/24_Hours_with_Gaspar","http://dbpedia.org/resource/Shenina_Cinnamon"
"http://dbpedia.org/resource/24_Hours_with_Gaspar","http://dbpedia.org/resource/Laura_Basuki"
