filmLabel,actorLabel,releaseDate
Jangan Seperti Bapak,Aulia Sarah,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Donny Damara,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Verdi Solaiman,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Zee Asadel,2026-02-12T00:00:00Z
Jangan Seperti Bapak,Damara Adelardo,2026-02-12T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Tora Sudiro,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Indy Barends,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Vino G. Bastian,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Indro,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Andre Taulany,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Hesti Purwadinata,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Mongol Stres,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Cak Lontong,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Mohamad Ali Sidik,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Dicky Difie,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Oki Rengga Winata,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Adjis Doaibu,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Kiky Saputri,2025-12-24T00:00:00Z
Comic 8 Revolution: Santet K4bin3t,Mister Aloy,2025-12-24T00:00:00Z
Panji Tengkorak,Denny Sumargo,2025-08-28T00:00:00Z
Panji Tengkorak,Tanta Ginting,2025-08-28T00:00:00Z
The Siege at Thorn High,Morgan Oey,2025-01-01T00:00:00Z
The Siege at Thorn High,Endi Arfian,2025-01-01T00:00:00Z
The Siege at Thorn High,Hana Malasan,2025-01-01T00:00:00Z
The Siege at Thorn High,Omara Esteghlal,2025-01-01T00:00:00Z
13 Bombs,Rio Dewanto,2023-12-28T00:00:00Z
13 Bombs,Putri Ayudya,2023-12-28T00:00:00Z
13 Bombs,Rio Dewanto,2023-12-02T00:00:00Z
13 Bombs,Putri Ayudya,2023-12-02T00:00:00Z
Hitmen,Vino G. Bastian,2023-04-27T00:00:00Z
Hitmen,Abdur Arsyad,2023-04-27T00:00:00Z
Hitmen,Cornelio Sunny,2023-04-27T00:00:00Z
Balada Si Roy,Febby Rastanty,2023-01-19T00:00:00Z
Balada Si Roy,Abidzar Al-Ghifari,2023-01-19T00:00:00Z
Balada Si Roy,Bio One,2023-01-19T00:00:00Z
Balada Si Roy,Febby Rastanty,2022-11-29T00:00:00Z
Balada Si Roy,Abidzar Al-Ghifari,2022-11-29T00:00:00Z
Balada Si Roy,Bio One,2022-11-29T00:00:00Z
Sri Asih,Christine Hakim,2022-11-17T00:00:00Z
Sri Asih,Surya Saputra,2022-11-17T00:00:00Z
Sri Asih,Pevita Pearce,2022-11-17T00:00:00Z
Sri Asih,Jefri Nichol,2022-11-17T00:00:00Z
Balada Si Roy,Febby Rastanty,2022-10-13T00:00:00Z
Balada Si Roy,Abidzar Al-Ghifari,2022-10-13T00:00:00Z
Balada Si Roy,Bio One,2022-10-13T00:00:00Z
Sayap-Sayap Patah,Ariel Tatum,2022-08-18T00:00:00Z
Sayap-Sayap Patah,Nicholas Saputra,2022-08-18T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Ladya Cheryl,2021-12-02T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Marthino Lio,2021-12-02T00:00:00Z
"Vengeance Is Mine, All Others Pay Cash",Sal Priadi,2021-12-02T00:00:00Z
